Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2024-12-31,278.87,125.01,132.34,51.96,21.13,33.27,-9.79,-27.05,-2.33,-3.85,-2.86,-1.55,-2.5,-2.3,0.48,-0.888
2025-01-02,287.22,124.74,132.13,52.03,34.21,34.96,-7.09,-27.05,2.99,-1.36,-0.22,-2.84,-2.95,-3.75,-0.63,0.088
2025-01-03,300.01,126.31,134.47,52.18,47.89,38.05,-2.96,-27.05,4.45,3.24,3.01,-1.58,-1.78,-1.99,0.72,1.115
2025-01-06,310.31,127.01,136.13,52.26,43.67,38.0,0.0,-27.05,3.43,9.07,2.96,0.08,-1.83,0.72,0.66,1.102
2025-01-07,291.02,125.6,133.56,52.62,72.56,43.97,-6.22,-27.05,-6.22,1.93,-3.39,0.04,-2.73,0.01,-1.07,-0.731
2025-01-08,290.96,125.79,133.49,52.61,68.7,43.55,-6.24,-27.05,-0.02,4.33,-1.64,0.62,-2.82,0.87,-1.92,-0.246
2025-01-09,290.96,125.79,133.49,52.59,66.28,42.58,-6.24,-27.05,0.0,1.3,0.94,0.85,-2.22,1.03,-1.31,0.466
2025-01-10,282.24,123.85,131.31,52.57,57.61,42.84,-9.05,-27.05,-3.0,-5.93,0.62,-1.94,-3.44,-2.34,-2.67,0.378
2025-01-13,276.67,124.05,130.81,52.62,40.78,41.87,-10.84,-27.05,-1.97,-10.84,-4.36,-2.33,-4.08,-3.91,-4.73,-1.078
2025-01-14,273.62,124.19,130.51,52.64,20.49,41.77,-11.82,-27.05,-1.1,-5.98,-4.06,-1.12,-3.44,-2.28,-4.31,-0.991
2025-01-15,282.92,126.46,133.71,52.68,39.07,42.79,-8.83,-27.05,3.4,-2.76,1.48,0.53,-1.67,0.17,-2.09,0.617
2025-01-16,277.38,126.2,132.52,52.74,39.85,42.95,-10.61,-27.05,-1.96,-4.67,1.19,0.32,-2.25,-0.72,-4.14,0.536
2025-01-17,285.98,127.46,134.53,52.79,43.25,43.88,-7.84,-27.05,3.1,1.32,5.61,2.91,-0.89,2.45,-2.38,1.705
2025-01-20,285.98,127.46,134.53,52.75,38.77,43.59,-7.84,-27.05,0.0,3.36,6.83,2.75,2.12,2.84,1.22,2.029
2025-01-21,292.46,128.58,135.39,52.79,36.27,43.96,-5.76,-27.05,2.27,6.88,7.77,3.53,3.1,3.74,1.98,2.256
2025-01-22,305.41,129.36,137.12,52.89,40.42,45.24,-1.58,-27.05,4.43,7.95,9.18,2.29,2.62,2.55,2.23,2.552
