Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Daily,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Daily,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly
2024-02-21,23.686752,52.91679,71.365418,9.741595,8.731503,8.583013,-4.237611,-19.968605,0.014753,1.012982,0.624343,0.12642,0.585642,2.728207,-0.319307,-0.46152,1.532361
2024-02-22,24.525574,56.146834,76.432954,9.986758,8.793052,8.477934,-3.588167,-19.968605,0.678183,1.078682,1.372625,2.112288,1.739954,4.548358,2.957152,1.195453,4.06211
2024-02-23,25.022863,56.201165,75.940225,9.834146,8.813423,8.484632,-3.20315,-19.968605,0.399347,0.68487,2.266575,0.034795,1.192624,4.50196,-0.279272,0.619699,3.419945
2024-02-26,24.460279,55.60967,75.713984,9.82316,8.879509,8.492241,-3.638721,-19.968605,-0.449985,0.54916,1.186317,-0.378675,1.294296,3.597248,-0.12859,1.311668,3.106752
2024-02-27,24.570793,55.875194,76.36344,9.813557,8.87402,8.438276,-3.553157,-19.968605,0.088795,0.731093,1.340585,0.170635,2.065463,3.833061,0.36961,2.599593,3.831861
2024-02-28,24.78729,55.616729,75.40042,9.52642,8.855347,8.4381,-3.385538,-19.968605,0.173794,0.890134,0.788493,-0.165816,1.773228,2.911568,-0.546043,2.372857,2.168538
2024-02-29,25.218144,56.430464,76.986173,9.586003,8.849211,8.441214,-3.051957,-19.968605,0.34527,0.557221,1.085332,0.522909,0.183849,3.494543,0.904076,0.319781,3.828561
2024-03-01,26.259181,57.683132,78.999115,9.794709,8.963673,8.469589,-2.245951,-19.968605,0.831379,0.989254,2.32707,0.800783,0.949837,5.9059,1.137344,1.736397,7.196033
2024-03-04,26.637339,57.494975,78.257483,8.915591,8.970741,8.472639,-1.953169,-19.968605,0.299509,1.738748,1.376461,-0.119326,1.209186,4.537205,-0.414322,1.450665,5.478429
2024-03-05,26.504806,55.889613,75.310779,8.645741,8.695311,8.368071,-2.05578,-19.968605,-0.104656,1.545297,1.834806,-1.01931,0.019241,2.44945,-1.65306,-0.572005,2.085251
2024-03-06,27.194538,56.691057,76.322088,7.951469,8.651552,8.377659,-1.521767,-19.968605,0.545222,1.916725,3.303327,0.51411,0.699166,3.282195,0.576867,0.550904,2.862198
2024-03-07,27.80052,58.305622,78.981952,7.88786,8.683525,8.314619,-1.052596,-19.968605,0.476421,2.047876,3.196703,1.030413,1.20667,4.081566,1.508525,1.155354,4.298147
2024-03-08,27.877517,57.272121,76.911279,7.894283,8.681547,8.314182,-0.992982,-19.968605,0.060248,1.276745,3.114248,-0.652852,-0.246965,2.604569,-1.156917,-1.138908,2.195367
2024-03-11,27.823523,57.095624,76.187132,7.889844,8.684105,8.286677,-1.034786,-19.968605,-0.042224,0.935012,3.1283,-0.112224,-0.239863,2.435286,-0.409328,-1.133913,1.550772
2024-03-12,27.710107,58.855376,78.896821,7.932498,8.658819,8.287939,-1.122596,-19.968605,-0.088729,0.950939,2.920175,1.120179,1.899626,2.981231,1.537961,2.057108,1.841716
2024-03-13,27.666105,58.549654,77.930386,7.954385,8.66232,8.26298,-1.156664,-19.968605,-0.034455,0.371262,2.787548,-0.192453,1.193063,2.883673,-0.540219,0.940022,1.602362
2024-03-14,26.805594,58.094443,77.388831,6.435485,8.797752,8.289731,-1.8229,-19.968605,-0.674032,-0.779191,3.517071,-0.287109,-0.124459,3.96399,-0.304364,-0.872867,3.0979
2024-03-15,26.462905,57.06953,75.680108,6.392731,7.899923,8.28735,-2.088221,-19.968605,-0.270248,-1.109687,2.634341,-0.648292,-0.119899,2.357722,-0.963264,-0.679214,0.834457
2024-03-18,26.653383,58.061905,77.112989,5.916898,7.743421,8.279152,-1.940747,-19.968605,0.150619,-0.916844,1.991802,0.631806,0.624131,2.407403,0.815619,0.545733,1.353594
2024-03-19,27.086688,58.95482,77.809629,5.780361,7.692546,8.284463,-1.605268,-19.968605,0.342119,-0.485996,2.648195,0.564915,0.068867,3.452665,0.393331,-0.598897,2.567484
2024-03-20,27.817034,60.370182,80.038136,5.922393,7.762512,8.298058,-1.03981,-19.968605,0.574683,0.123142,3.316016,0.890417,1.151737,4.943614,1.253311,1.194633,4.73911
2024-03-21,28.077805,60.889225,80.394812,5.901003,7.702839,8.297051,-0.837912,-19.968605,0.204019,1.001193,3.505282,0.323654,1.7625,5.140848,0.198112,1.697108,5.256528
2024-03-22,27.919281,60.663628,80.691555,5.675132,7.561004,8.284522,-0.960647,-19.968605,-0.123772,1.147669,2.703328,-0.140219,2.270573,2.888341,0.164497,2.824869,2.463873
2024-03-25,27.739135,60.172807,80.203779,5.65905,7.516321,8.285836,-1.100122,-19.968605,-0.140828,0.856221,2.163153,-0.305496,1.333271,2.548049,-0.26995,1.7393,2.473195
2024-03-26,27.67496,59.724356,79.44741,5.326518,7.516654,8.267473,-1.149808,-19.968605,-0.050239,0.463864,2.562899,-0.27998,0.488376,2.646745,-0.41973,0.926239,2.182055
2024-03-27,28.985994,61.102877,80.369292,6.176186,7.730629,8.304598,-0.134762,-19.968605,1.026853,0.916034,3.500957,0.863063,0.461021,3.339173,0.513734,0.186662,2.32618
2024-03-28,29.346581,61.282746,80.148668,6.188568,7.688165,8.307665,0.0,-19.968605,0.279555,0.99157,3.606718,0.111649,0.249016,3.616637,-0.122318,-0.133767,2.749904
2024-04-01,28.76925,60.95799,80.339712,6.508202,7.746758,8.300324,-0.446345,-19.968605,-0.446345,0.668997,2.815103,-0.201358,0.187877,2.892369,0.106048,-0.192216,1.951876
2024-04-02,28.376139,59.792805,78.619776,6.155205,7.730169,8.293134,-0.750265,-19.968605,-0.305283,0.504542,1.678441,-0.723906,-0.230533,1.36768,-0.95372,-0.875986,-0.139188
2024-04-03,28.592619,59.967159,79.026826,6.112927,7.723175,8.246534,-0.582901,-19.968605,0.168629,0.72341,1.547561,0.109112,0.158559,1.596118,0.227886,-0.22837,0.50302
2024-04-04,28.001823,57.99407,76.515002,6.361822,7.704427,8.258108,-1.039655,-19.968605,-0.459432,-0.762875,1.192785,-1.233434,-1.937937,1.381995,-1.403044,-2.145147,0.753037
2024-04-05,28.51615,59.747677,78.708526,6.241349,7.691032,8.263252,-0.64202,-19.968605,0.401812,-0.640618,1.049374,1.109919,-0.939666,1.977804,1.242685,-0.780145,1.418855
2024-04-08,28.801857,59.68783,78.768363,6.082639,7.686555,8.2619,-0.421136,-19.968605,0.222312,0.028038,0.795266,-0.037463,-0.775771,0.909928,0.033483,-0.85271,-0.056188
2024-04-09,29.410029,59.918658,79.347758,6.26634,7.614679,8.272756,0.0,-19.968605,0.472176,0.805498,1.207194,0.144549,0.092684,1.707329,0.324104,0.425114,1.424833
