Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2022-05-23,61.02,82.85,72.86,,66.34,71.52,-38.69,-39.49,-4.04,1.32,-24.48,1.28,-4.37,1.03,-7.98,-4.329
2022-05-24,62.19,82.17,71.15,,51.74,72.27,-37.52,-39.49,1.91,-2.17,-21.44,1.04,-5.6,-1.09,-10.34,-3.631
2022-05-25,61.99,82.95,72.22,,43.11,68.75,-37.72,-39.49,-0.31,1.24,-25.53,1.98,-7.48,0.71,-11.8,-4.773
2022-05-26,61.37,84.6,74.15,,43.63,64.47,-38.34,-39.49,-1.0,-0.56,-19.98,4.01,-2.15,3.4,-4.68,-3.811
2022-05-27,60.03,86.69,76.62,,35.07,64.59,-39.69,-39.69,-2.19,-5.59,-20.57,6.58,0.85,6.84,-0.11,-3.939
2022-05-28,60.43,86.69,76.62,,24.83,64.82,-39.29,-39.69,0.65,-0.98,-18.84,4.64,0.85,5.17,-0.11,-3.527
2022-05-29,61.75,86.69,76.62,,26.34,64.6,-37.96,-39.69,2.19,-0.71,-13.54,5.5,0.85,7.69,-0.11,-2.377
2022-05-30,66.53,86.69,76.62,,61.49,58.89,-33.16,-39.69,7.74,7.32,4.72,4.51,4.18,6.09,4.37,1.221
2022-05-31,66.67,86.15,76.31,,58.97,58.39,-33.02,-39.69,0.21,8.63,2.48,1.83,3.28,2.9,2.93,0.782
2022-06-01,62.49,85.5,75.76,,79.55,57.72,-37.22,-39.69,-6.27,4.09,2.98,-1.37,4.22,-1.13,5.55,0.886
2022-06-02,63.89,87.08,77.79,,80.03,58.15,-35.81,-39.69,2.24,5.74,4.89,0.45,6.28,1.53,8.32,1.263
2022-06-03,62.29,85.66,75.87,,83.33,58.91,-37.42,-39.69,-2.5,0.88,1.44,-1.2,2.1,-0.98,1.76,0.571
2022-06-04,62.56,85.66,75.87,,52.59,58.13,-37.15,-39.69,0.43,-5.97,-0.89,-1.2,2.1,-0.98,1.76,0.092
2022-06-05,62.71,85.66,75.87,,52.66,56.32,-36.99,-39.69,0.25,-5.93,-4.47,-0.57,2.1,-0.57,1.76,-0.705
2022-06-06,65.78,85.92,76.18,,43.38,56.48,-33.91,-39.69,4.9,5.27,5.05,0.49,2.83,0.56,3.42,1.316
2022-06-07,65.33,86.74,76.9,,43.34,56.27,-34.36,-39.69,-0.69,2.26,2.4,-0.39,1.76,-1.15,1.59,0.773
2022-06-08,63.36,85.81,76.34,,45.67,53.57,-36.34,-39.69,-3.02,1.72,5.2,0.18,4.9,0.61,5.85,1.391
2022-06-09,63.15,83.76,74.24,,45.94,50.06,-36.56,-39.69,-0.34,0.94,-0.67,-2.21,3.0,-2.15,3.21,0.076
2022-06-10,60.99,81.33,71.62,,52.66,49.83,-38.73,-39.69,-3.41,-2.75,-0.4,-5.05,-0.01,-5.6,-0.13,0.139
2022-06-11,59.47,81.33,71.62,,22.12,50.49,-40.25,-40.25,-2.49,-9.59,-3.64,-5.35,-0.01,-5.98,-0.13,-0.642
2022-06-12,56.12,81.33,71.62,,30.18,52.54,-43.62,-43.62,-5.64,-14.1,-11.74,-6.24,-0.01,-6.86,-0.13,-2.596
2022-06-13,47.16,78.17,68.27,,97.14,74.31,-52.62,-52.62,-15.97,-25.57,-22.72,-8.9,-5.64,-10.57,-6.29,-3.763
